g_total	Temperature
0.000000000000000000e+00	5.000000000000000000e+04
0.000000000000000000e+00	5.829572005899154465e+04
0.000000000000000000e+00	6.796781954392633634e+04
0.000000000000000000e+00	7.924465962305568974e+04
4.083771684520189164e-42	9.239248987111452152e+04
2.346417562521336392e-38	1.077217345015940955e+05
2.591574182543162396e-35	1.255943215754790872e+05
7.859051652748720714e-33	1.464322282312618336e+05
8.820170241083340400e-31	1.707274436916800041e+05
4.356652853416945564e-29	1.990535852767484321e+05
1.052060328882196506e-27	2.320794416806390800e+05
1.346369844523778438e-26	2.705847632732318598e+05
9.909235569809616650e-26	3.154786722400964354e+05
4.602513175213786536e-25	3.678211272298209951e+05
1.474035940049043472e-24	4.288479492954472080e+05
3.493860891925261031e-24	4.999999999999999418e+05
6.431807777230574529e-24	5.829572005899155047e+05
9.447314693424241450e-24	6.796781954392619664e+05
1.107941778605295700e-23	7.924465962305569556e+05
1.001845044752214735e-23	9.239248987111452734e+05
6.574367031757669827e-24	1.077217345015940955e+06
2.982175896855024326e-24	1.255943215754790930e+06
9.007003047556353032e-25	1.464322282312618569e+06
1.693907980389339373e-25	1.707274436916800216e+06
1.740196905153961378e-26	1.990535852767484263e+06
9.531513071201698889e-28	2.320794416806390509e+06
3.815047573548129913e-29	2.705847632732318249e+06
1.529817118889548703e-30	3.154786722400964703e+06
6.911608334347472395e-32	3.678211272298210301e+06
3.564954451823587775e-33	4.288479492954472080e+06
2.046811544033118546e-34	4.999999999999999069e+06
1.252498260294345219e-35	5.829572005899154581e+06
7.714278690362276024e-37	6.796781954392619431e+06
4.433321804586796803e-38	7.924465962305570021e+06
2.161505872897409964e-39	9.239248987111452967e+06
7.990902123394884608e-41	1.077217345015943237e+07
2.028683102380533469e-42	1.255943215754790977e+07
0.000000000000000000e+00	1.464322282312618382e+07
0.000000000000000000e+00	1.707274436916800216e+07
0.000000000000000000e+00	1.990535852767484263e+07
0.000000000000000000e+00	2.320794416806386039e+07
0.000000000000000000e+00	2.705847632732318342e+07
0.000000000000000000e+00	3.154786722400964424e+07
0.000000000000000000e+00	3.678211272298210114e+07
0.000000000000000000e+00	4.288479492954472452e+07
0.000000000000000000e+00	5.000000000000000000e+07
