g_total	Temperature
0.000000000000000000e+00	5.000000000000000000e+04
0.000000000000000000e+00	5.829572005899154465e+04
0.000000000000000000e+00	6.796781954392633634e+04
0.000000000000000000e+00	7.924465962305568974e+04
4.226852588208762147e-42	9.239248987111452152e+04
2.404660718769084232e-38	1.077217345015940955e+05
2.629487052459978209e-35	1.255943215754790872e+05
7.901539572703174124e-33	1.464322282312618336e+05
8.803249811865415726e-31	1.707274436916800041e+05
4.327549980705644841e-29	1.990535852767484321e+05
1.042991769729935840e-27	2.320794416806390800e+05
1.335764361656235328e-26	2.705847632732318598e+05
9.861013023010378771e-26	3.154786722400964354e+05
4.601941804976909155e-25	3.678211272298209951e+05
1.482594426501637737e-24	4.288479492954472080e+05
3.537307217137437491e-24	4.999999999999999418e+05
6.556267581405102865e-24	5.829572005899155047e+05
9.695001207356162220e-24	6.796781954392619664e+05
1.144249032681560419e-23	7.924465962305569556e+05
1.040715842925312506e-23	9.239248987111452734e+05
6.864480860423006886e-24	1.077217345015940955e+06
3.127212322210300090e-24	1.255943215754790930e+06
9.477679579900010395e-25	1.464322282312618569e+06
1.787047039433210939e-25	1.707274436916800216e+06
1.839196368359519420e-26	1.990535852767484263e+06
1.008541283567096907e-27	2.320794416806390509e+06
4.039277039979027033e-29	2.705847632732318249e+06
1.620034091304044250e-30	3.154786722400964703e+06
7.317847661228056533e-32	3.678211272298210301e+06
3.772584328335797708e-33	4.288479492954472080e+06
2.164297920332669803e-34	4.999999999999999069e+06
1.322973193007596228e-35	5.829572005899154581e+06
8.137616147286431832e-37	6.796781954392619431e+06
4.669485344338583241e-38	7.924465962305570021e+06
2.272842237316361932e-39	9.239248987111452967e+06
8.388231935890696165e-41	1.077217345015943237e+07
2.126033643023446980e-42	1.255943215754790977e+07
0.000000000000000000e+00	1.464322282312618382e+07
0.000000000000000000e+00	1.707274436916800216e+07
0.000000000000000000e+00	1.990535852767484263e+07
0.000000000000000000e+00	2.320794416806386039e+07
0.000000000000000000e+00	2.705847632732318342e+07
0.000000000000000000e+00	3.154786722400964424e+07
0.000000000000000000e+00	3.678211272298210114e+07
0.000000000000000000e+00	4.288479492954472452e+07
0.000000000000000000e+00	5.000000000000000000e+07
