z [Mm]	log(T) [K]
3.478960692882537842e-01	3.655969381332397461e+00	3.661821782588958740e-02
3.606438636779785156e-01	3.654107332229614258e+00	3.808923438191413879e-02
3.733820915222167969e-01	3.652236938476562500e+00	3.952238708734512329e-02
3.861137032508850098e-01	3.650331258773803711e+00	4.091968014836311340e-02
3.988375961780548096e-01	3.648380279541015625e+00	4.227546602487564087e-02
4.115529060363769531e-01	3.646355152130126953e+00	4.364321380853652954e-02
4.242607057094573975e-01	3.644152402877807617e+00	4.518503323197364807e-02
4.369635879993438721e-01	3.641680717468261719e+00	4.688360542058944702e-02
4.496569931507110596e-01	3.638858795166015625e+00	4.871995002031326294e-02
4.623447060585021973e-01	3.635734558105468750e+00	5.059183016419410706e-02
4.750257134437561035e-01	3.632378816604614258e+00	5.250936746597290039e-02
4.876999855041503906e-01	3.628833770751953125e+00	5.447739735245704651e-02
5.003677010536193848e-01	3.625211954116821289e+00	5.649882182478904724e-02
5.130295753479003906e-01	3.621629476547241211e+00	5.860499665141105652e-02
5.256838798522949219e-01	3.618162393569946289e+00	6.080907955765724182e-02
5.383334755897521973e-01	3.614818096160888672e+00	6.312123686075210571e-02
5.509781837463378906e-01	3.611644268035888672e+00	6.547369062900543213e-02
5.636153817176818848e-01	3.608773231506347656e+00	6.780589371919631958e-02
5.762478113174438477e-01	3.606269836425781250e+00	7.007490843534469604e-02
5.888754129409790039e-01	3.604070901870727539e+00	7.235750555992126465e-02
6.014962792396545410e-01	3.602065563201904297e+00	7.464983314275741577e-02
6.141123771667480469e-01	3.600190162658691406e+00	7.684110105037689209e-02
6.267247796058654785e-01	3.598492145538330078e+00	7.893736660480499268e-02
6.393296122550964355e-01	3.597015857696533203e+00	8.095995336771011353e-02
6.519305109977722168e-01	3.595727682113647461e+00	8.295871317386627197e-02
6.645274758338928223e-01	3.594547748565673828e+00	8.498630672693252563e-02
6.771187782287597656e-01	3.593352794647216797e+00	8.704333752393722534e-02
6.897072792053222656e-01	3.592156410217285156e+00	8.912008255720138550e-02
7.022882103919982910e-01	3.591034889221191406e+00	9.131348133087158203e-02
7.148681282997131348e-01	3.589950084686279297e+00	9.365560114383697510e-02
7.274423241615295410e-01	3.588818073272705078e+00	9.609729051589965820e-02
7.400118112564086914e-01	3.587542295455932617e+00	9.851545095443725586e-02
7.525783181190490723e-01	3.586220979690551758e+00	1.008446142077445984e-01
7.651400566101074219e-01	3.584892272949218750e+00	1.030977368354797363e-01
7.776980996131896973e-01	3.583624601364135742e+00	1.053711995482444763e-01
7.902522087097167969e-01	3.582468271255493164e+00	1.076673120260238647e-01
8.028026223182678223e-01	3.581467628479003906e+00	1.099038273096084595e-01
8.153500556945800781e-01	3.580572366714477539e+00	1.120584383606910706e-01
8.278939127922058105e-01	3.579722404479980469e+00	1.141040697693824768e-01
8.404335975646972656e-01	3.578963756561279297e+00	1.161091402173042297e-01
8.529696464538574219e-01	3.578294992446899414e+00	1.181264743208885193e-01
8.655037283897399902e-01	3.577678203582763672e+00	1.201734542846679688e-01
8.780332207679748535e-01	3.577202796936035156e+00	1.222165673971176147e-01
8.905596733093261719e-01	3.576866626739501953e+00	1.242423579096794128e-01
9.030833840370178223e-01	3.576614379882812500e+00	1.262828409671783447e-01
9.156051278114318848e-01	3.576443672180175781e+00	1.282686889171600342e-01
9.281229376792907715e-01	3.576442718505859375e+00	1.301984935998916626e-01
9.406371116638183594e-01	3.576685905456542969e+00	1.320511996746063232e-01
9.531490206718444824e-01	3.577192544937133789e+00	1.338281184434890747e-01
9.656580090522766113e-01	3.578000307083129883e+00	1.355125010013580322e-01
9.781649708747863770e-01	3.579106330871582031e+00	1.370924264192581177e-01
9.906679987907409668e-01	3.580529928207397461e+00	1.386162489652633667e-01
1.003170013427734375e+00	3.582182645797729492e+00	1.401125490665435791e-01
1.015666961669921875e+00	3.584054231643676758e+00	1.416012644767761230e-01
1.028162956237792969e+00	3.586044788360595703e+00	1.430332809686660767e-01
1.040657043457031250e+00	3.588194131851196289e+00	1.444474011659622192e-01
1.053148031234741211e+00	3.590449333190917969e+00	1.458009928464889526e-01
1.065636038780212402e+00	3.592905998229980469e+00	1.471513956785202026e-01
1.078122973442077637e+00	3.595461845397949219e+00	1.483708769083023071e-01
1.090605974197387695e+00	3.598286628723144531e+00	1.496721804141998291e-01
1.103088974952697754e+00	3.601104736328125000e+00	1.507668197154998779e-01
1.115568041801452637e+00	3.604054450988769531e+00	1.517417728900909424e-01
1.128044009208679199e+00	3.607090473175048828e+00	1.525657922029495239e-01
1.140519022941589355e+00	3.610240459442138672e+00	1.533025503158569336e-01
1.152992010116577148e+00	3.613514900207519531e+00	1.539392173290252686e-01
1.165462970733642578e+00	3.616886615753173828e+00	1.544922888278961182e-01
1.177932024002075195e+00	3.620330333709716797e+00	1.549343913793563843e-01
1.190397977828979492e+00	3.623860597610473633e+00	1.552456617355346680e-01
1.202862024307250977e+00	3.627504587173461914e+00	1.554014980792999268e-01
1.215327024459838867e+00	3.631273031234741211e+00	1.554176062345504761e-01
1.227787017822265625e+00	3.635169029235839844e+00	1.553188860416412354e-01
1.240244984626770020e+00	3.639143228530883789e+00	1.551711708307266235e-01
1.252701997756958008e+00	3.643156290054321289e+00	1.549956351518630981e-01
1.265156984329223633e+00	3.647203207015991211e+00	1.548037528991699219e-01
1.277609944343566895e+00	3.651281118392944336e+00	1.545893549919128418e-01
1.290061950683593750e+00	3.655378580093383789e+00	1.544276475906372070e-01
1.302512049674987793e+00	3.659528970718383789e+00	1.543787270784378052e-01
1.314960002899169922e+00	3.663727998733520508e+00	1.545304954051971436e-01
1.327406048774719238e+00	3.667994499206542969e+00	1.548477113246917725e-01
1.339849948883056641e+00	3.672317981719970703e+00	1.553801745176315308e-01
1.352293968200683594e+00	3.676727294921875000e+00	1.561462879180908203e-01
1.364734053611755371e+00	3.681201934814453125e+00	1.571584492921829224e-01
1.377172946929931641e+00	3.685737609863281250e+00	1.585510373115539551e-01
1.389610052108764648e+00	3.690344095230102539e+00	1.603625118732452393e-01
1.402047991752624512e+00	3.695025920867919922e+00	1.625759750604629517e-01
1.414481878280639648e+00	3.699782848358154297e+00	1.651241928339004517e-01
1.426915049552917480e+00	3.704613208770751953e+00	1.678833365440368652e-01
1.439345002174377441e+00	3.709576845169067383e+00	1.710577756166458130e-01
1.451774120330810547e+00	3.714653015136718750e+00	1.747338026762008667e-01
1.464202046394348145e+00	3.719877481460571289e+00	1.789391338825225830e-01
1.476628899574279785e+00	3.725280761718750000e+00	1.839117854833602905e-01
1.489051938056945801e+00	3.730882406234741211e+00	1.897037774324417114e-01
1.501477003097534180e+00	3.736644268035888672e+00	1.961234211921691895e-01
1.513896942138671875e+00	3.742587089538574219e+00	2.030853331089019775e-01
1.526317954063415527e+00	3.748744964599609375e+00	2.106359302997589111e-01
1.538737058639526367e+00	3.755139589309692383e+00	2.188252657651901245e-01
1.551154017448425293e+00	3.761778593063354492e+00	2.277293801307678223e-01
1.563570022583007812e+00	3.768666505813598633e+00	2.371627092361450195e-01
1.575983047485351562e+00	3.775883197784423828e+00	2.473103255033493042e-01
1.588395953178405762e+00	3.783477306365966797e+00	2.581972479820251465e-01
1.600806832313537598e+00	3.791351795196533203e+00	2.696834504604339600e-01
1.613215088844299316e+00	3.799512624740600586e+00	2.816670536994934082e-01
1.625623941421508789e+00	3.807958841323852539e+00	2.938908636569976807e-01
1.638031005859375000e+00	3.816763639450073242e+00	3.064152300357818604e-01
1.650436043739318848e+00	3.825890541076660156e+00	3.191333115100860596e-01
1.662840008735656738e+00	3.835430145263671875e+00	3.321158289909362793e-01
1.675240993499755859e+00	3.845364809036254883e+00	3.453659713268280029e-01
1.687644004821777344e+00	3.855727195739746094e+00	3.588921129703521729e-01
1.700042128562927246e+00	3.866478919982910156e+00	3.726157844066619873e-01
1.712440013885498047e+00	3.877678394317626953e+00	3.865135610103607178e-01
1.724835991859436035e+00	3.889333963394165039e+00	4.007008075714111328e-01
1.737231969833374023e+00	3.901475667953491211e+00	4.151164889335632324e-01
1.749626040458679199e+00	3.914052009582519531e+00	4.297192692756652832e-01
1.762017965316772461e+00	3.926990985870361328e+00	4.443491697311401367e-01
1.774409055709838867e+00	3.940208911895751953e+00	4.588030278682708740e-01
1.786798119544982910e+00	3.953706979751586914e+00	4.730130434036254883e-01
1.799185872077941895e+00	3.967615365982055664e+00	4.870764911174774170e-01
1.811573863029479980e+00	3.982131958007812500e+00	5.011950731277465820e-01
1.823959946632385254e+00	3.997258186340332031e+00	5.154009461402893066e-01
1.836344003677368164e+00	4.012968063354492188e+00	5.296266078948974609e-01
1.848726987838745117e+00	4.029236793518066406e+00	5.438359379768371582e-01
1.861107945442199707e+00	4.046033859252929688e+00	5.579876303672790527e-01
1.873488903045654297e+00	4.063251495361328125e+00	5.719795227050781250e-01
1.885867953300476074e+00	4.080819129943847656e+00	5.856863856315612793e-01
1.898246049880981445e+00	4.098836898803710938e+00	5.991434454917907715e-01
1.910622119903564453e+00	4.117144584655761719e+00	6.123450398445129395e-01
1.922997951507568359e+00	4.135756492614746094e+00	6.252363920211791992e-01
1.935371041297912598e+00	4.154609680175781250e+00	6.377086043357849121e-01
1.947744965553283691e+00	4.173746585845947266e+00	6.498586535453796387e-01
1.960116982460021973e+00	4.192967891693115234e+00	6.615983843803405762e-01
1.972488045692443848e+00	4.212177276611328125e+00	6.727876663208007812e-01
1.984856009483337402e+00	4.231400489807128906e+00	6.834532022476196289e-01
1.997225165367126465e+00	4.250771522521972656e+00	6.936611533164978027e-01
2.009593009948730469e+00	4.270328521728515625e+00	7.035092115402221680e-01
2.021958112716674805e+00	4.289895057678222656e+00	7.129606604576110840e-01
2.034322977066040039e+00	4.309394359588623047e+00	7.219031453132629395e-01
2.046686887741088867e+00	4.328929424285888672e+00	7.303646802902221680e-01
2.059048891067504883e+00	4.348451614379882812e+00	7.384005188941955566e-01
2.071410894393920898e+00	4.367872714996337891e+00	7.459938526153564453e-01
2.083771944046020508e+00	4.387203216552734375e+00	7.531108260154724121e-01
2.096132040023803711e+00	4.406479835510253906e+00	7.597502470016479492e-01
2.108490943908691406e+00	4.425718784332275391e+00	7.659892439842224121e-01
2.120848894119262695e+00	4.444841384887695312e+00	7.718337178230285645e-01
2.133205890655517578e+00	4.463915348052978516e+00	7.772803902626037598e-01
2.145562887191772461e+00	4.482910156250000000e+00	7.823243737220764160e-01
2.157917976379394531e+00	4.501757144927978516e+00	7.869684696197509766e-01
2.170272111892700195e+00	4.520401954650878906e+00	7.911765575408935547e-01
2.182626962661743164e+00	4.538963317871093750e+00	7.949399948120117188e-01
2.194979906082153320e+00	4.557539463043212891e+00	7.982831001281738281e-01
2.207331895828247070e+00	4.576131820678710938e+00	8.012550473213195801e-01
2.219685077667236328e+00	4.594701766967773438e+00	8.038620352745056152e-01
2.232036113739013672e+00	4.613204002380371094e+00	8.060772418975830078e-01
2.244386911392211914e+00	4.631654739379882812e+00	8.079288601875305176e-01
2.256737947463989258e+00	4.650130271911621094e+00	8.094167113304138184e-01
2.269087076187133789e+00	4.668577671051025391e+00	8.106029033660888672e-01
2.281436920166015625e+00	4.686838150024414062e+00	8.115246891975402832e-01
2.293786048889160156e+00	4.704854488372802734e+00	8.121620416641235352e-01
2.306135892868041992e+00	4.722626209259033203e+00	8.124673366546630859e-01
2.318483114242553711e+00	4.740205764770507812e+00	8.124486207962036133e-01
2.330832004547119141e+00	4.757627010345458984e+00	8.121256232261657715e-01
2.343180894851684570e+00	4.774838447570800781e+00	8.115147948265075684e-01
2.355528116226196289e+00	4.791895866394042969e+00	8.106033205986022949e-01
2.367877006530761719e+00	4.808857440948486328e+00	8.094156980514526367e-01
2.380225896835327148e+00	4.825690269470214844e+00	8.080096244812011719e-01
2.392573118209838867e+00	4.842342376708984375e+00	8.063807487487792969e-01
2.404921054840087891e+00	4.858715057373046875e+00	8.045189380645751953e-01
2.417268991470336914e+00	4.874854564666748047e+00	8.024280667304992676e-01
2.429617881774902344e+00	4.890825271606445312e+00	8.000765442848205566e-01
2.441967964172363281e+00	4.906708717346191406e+00	7.974751591682434082e-01
2.454318046569824219e+00	4.922421932220458984e+00	7.946969270706176758e-01
2.466669082641601562e+00	4.937874794006347656e+00	7.917621135711669922e-01
2.479017972946166992e+00	4.953177452087402344e+00	7.886002063751220703e-01
2.491369009017944336e+00	4.968404769897460938e+00	7.852200865745544434e-01
2.503720998764038086e+00	4.983462333679199219e+00	7.816894650459289551e-01
2.516074895858764648e+00	4.998299121856689453e+00	7.779957056045532227e-01
2.528428077697753906e+00	5.012960433959960938e+00	7.741276621818542480e-01
2.540781974792480469e+00	5.027432441711425781e+00	7.700762152671813965e-01
2.553138017654418945e+00	5.041743278503417969e+00	7.658465504646301270e-01
2.565495014190673828e+00	5.055974006652832031e+00	7.613753080368041992e-01
2.577853918075561523e+00	5.070063114166259766e+00	7.567951083183288574e-01
2.590213060379028320e+00	5.083927154541015625e+00	7.521889209747314453e-01
2.602574110031127930e+00	5.097392559051513672e+00	7.476192116737365723e-01
2.614937067031860352e+00	5.110476493835449219e+00	7.430927753448486328e-01
2.627300024032592773e+00	5.123186111450195312e+00	7.385448217391967773e-01
2.639666080474853516e+00	5.135601043701171875e+00	7.339280843734741211e-01
2.652033090591430664e+00	5.147775650024414062e+00	7.292394638061523438e-01
2.664402961730957031e+00	5.159716129302978516e+00	7.244974970817565918e-01
2.676774978637695312e+00	5.171337604522705078e+00	7.198221087455749512e-01
2.689150094985961914e+00	5.182610511779785156e+00	7.152267098426818848e-01
2.701525211334228516e+00	5.193535327911376953e+00	7.106955051422119141e-01
2.713904857635498047e+00	5.204130649566650391e+00	7.062355279922485352e-01
2.726285219192504883e+00	5.214492321014404297e+00	7.017368674278259277e-01
2.738668680191040039e+00	5.224608898162841797e+00	6.972555518150329590e-01
2.751055955886840820e+00	5.234522819519042969e+00	6.927245855331420898e-01
2.763444900512695312e+00	5.244218826293945312e+00	6.881960034370422363e-01
2.775837659835815430e+00	5.253727912902832031e+00	6.836559176445007324e-01
2.788234949111938477e+00	5.263038635253906250e+00	6.790899634361267090e-01
2.800633907318115234e+00	5.272154808044433594e+00	6.745261549949645996e-01
2.813035726547241211e+00	5.281060218811035156e+00	6.699932217597961426e-01
