g_total	Temperature
0.000000000000000000e+00	5.000000000000000000e+04
0.000000000000000000e+00	5.829572005899154465e+04
0.000000000000000000e+00	6.796781954392633634e+04
0.000000000000000000e+00	7.924465962305568974e+04
3.915914833735360362e-42	9.239248987111452152e+04
2.269997646654152566e-38	1.077217345015940955e+05
2.531451551846784927e-35	1.255943215754790872e+05
7.748715606602517540e-33	1.464322282312618336e+05
8.765016531478465317e-31	1.707274436916800041e+05
4.353410172601956937e-29	1.990535852767484321e+05
1.054275600461905469e-27	2.320794416806390800e+05
1.349660696125233564e-26	2.705847632732318598e+05
9.916638867817535984e-26	3.154786722400964354e+05
4.591372671914824720e-25	3.678211272298209951e+05
1.464369031814944743e-24	4.288479492954472080e+05
3.454433254434285897e-24	4.999999999999999418e+05
6.326759841649029244e-24	5.829572005899155047e+05
9.244059021926800310e-24	6.796781954392619664e+05
1.078363257692979008e-23	7.924465962305569556e+05
9.700122650030971488e-24	9.239248987111452734e+05
6.333425496698013157e-24	1.077217345015940955e+06
2.859193220576085814e-24	1.255943215754790930e+06
8.597330509462423629e-25	1.464322282312618569e+06
1.610337093115623048e-25	1.707274436916800216e+06
1.648331870372513072e-26	1.990535852767484263e+06
8.998886632309318335e-28	2.320794416806390509e+06
3.591344515738742601e-29	2.705847632732318249e+06
1.436378743460831768e-30	3.154786722400964703e+06
6.474692823663688616e-32	3.678211272298210301e+06
3.333041925612460125e-33	4.288479492954472080e+06
1.910511086233306760e-34	4.999999999999999069e+06
1.167550163853576885e-35	5.829572005899154581e+06
7.183893681180555124e-37	6.796781954392619431e+06
4.125645302789198394e-38	7.924465962305570021e+06
2.010623447409075043e-39	9.239248987111452967e+06
7.430939696052020760e-41	1.077217345015943237e+07
1.886093042358470569e-42	1.255943215754790977e+07
0.000000000000000000e+00	1.464322282312618382e+07
0.000000000000000000e+00	1.707274436916800216e+07
0.000000000000000000e+00	1.990535852767484263e+07
0.000000000000000000e+00	2.320794416806386039e+07
0.000000000000000000e+00	2.705847632732318342e+07
0.000000000000000000e+00	3.154786722400964424e+07
0.000000000000000000e+00	3.678211272298210114e+07
0.000000000000000000e+00	4.288479492954472452e+07
0.000000000000000000e+00	5.000000000000000000e+07
