Intensity	Wavelength
3.612351162762713371e-30	7.967700000000000671e+01
2.818734587959873013e-32	7.968099999999999739e+01
7.916580226472115371e-29	7.968300000000000693e+01
7.599749358946345696e-29	7.974800000000000466e+01
5.628818321719273999e-29	7.976200000000000045e+01
4.438668666360825859e-31	7.979999999999999716e+01
1.129117497619019660e-28	7.981900000000000261e+01
2.381608476985679345e-30	7.982899999999999352e+01
4.682596368756547847e-30	7.983400000000000318e+01
1.813308317912345852e-29	7.984199999999999875e+01
2.763080241478063760e-32	7.984300000000000352e+01
1.049162259762185649e-28	7.984799999999999898e+01
3.931488453492036723e-31	7.985099999999999909e+01
5.560476174036227239e-32	7.985200000000000387e+01
4.817283821853009068e-32	7.986700000000000443e+01
3.162103446236397232e-27	7.988500000000000512e+01
3.995109180661647620e-29	7.990000000000000568e+01
1.893874714832038721e-31	7.990800000000000125e+01
4.241890222980907565e-31	7.990999999999999659e+01
1.690847973287890797e-32	7.991299999999999670e+01
5.914456737871753069e-33	8.007999999999999829e+01
9.815175720109303716e-30	8.012199999999999989e+01
8.824045377188464548e-31	8.014000000000000057e+01
4.347156383234375308e-32	8.014000000000000057e+01
6.654229443452255578e-32	8.015999999999999659e+01
1.504663063664881525e-27	8.018000000000000682e+01
1.259613476584509460e-31	8.018600000000000705e+01
4.409843880533288647e-32	8.019700000000000273e+01
9.086158220832478020e-32	8.020199999999999818e+01
1.378640922527386801e-28	8.020999999999999375e+01
2.710233891751178173e-32	8.020999999999999375e+01
5.500058159468772289e-29	8.021800000000000352e+01
1.746908860226426086e-28	8.029600000000000648e+01
1.579184946671308671e-28	8.036700000000000443e+01
2.071249901894884960e-28	8.040500000000000114e+01
2.986225047640467188e-28	8.042400000000000659e+01
1.831107031019958700e-31	8.047499999999999432e+01
3.180652340403448802e-27	8.049099999999999966e+01
1.907319886685676756e-32	8.054399999999999693e+01
4.301779795914491167e-31	8.054500000000000171e+01
1.832905416033646118e-32	8.055200000000000671e+01
6.484253236235328120e-27	8.058100000000000307e+01
1.314630716941569386e-30	8.063100000000000023e+01
6.030003579088599003e-30	8.063200000000000500e+01
1.082519431049937975e-29	8.063899999999999579e+01
1.243835902140636104e-32	8.068200000000000216e+01
5.617254268563754862e-32	8.069299999999999784e+01
4.632538958069951269e-32	8.074299999999999500e+01
5.899989507720662763e-29	8.080400000000000205e+01
1.602466039890739235e-28	8.082099999999999795e+01
3.055609361114495941e-30	8.082800000000000296e+01
5.969842535581887572e-28	8.089000000000000057e+01
2.005846434682156914e-27	8.089199999999999591e+01
2.954837968431774732e-32	8.092300000000000182e+01
7.892005512612682121e-28	8.093300000000000693e+01
7.590674682685149652e-30	8.094599999999999795e+01
9.413452898492432743e-31	8.096999999999999886e+01
1.077987655911926385e-31	8.097799999999999443e+01
1.018551264441988835e-31	8.098999999999999488e+01
5.151893078656565924e-30	8.102100000000000080e+01
5.083986615372436849e-29	8.104999999999999716e+01
1.220741292503909197e-28	8.107899999999999352e+01
7.403672442883032024e-31	8.113599999999999568e+01
1.716870020616404069e-28	8.113800000000000523e+01
5.940616310129102597e-32	8.115999999999999659e+01
2.646860552117374340e-29	8.116100000000000136e+01
1.338355544172967161e-30	8.116800000000000637e+01
7.784384225005222176e-33	8.117799999999999727e+01
2.836644809444915780e-28	8.119799999999999329e+01
3.414558503527787582e-31	8.120699999999999363e+01
1.582171680192590053e-30	8.121899999999999409e+01
7.771141795942214116e-29	8.123300000000000409e+01
2.178949374189574068e-28	8.133799999999999386e+01
1.718113159080611697e-27	8.136299999999999955e+01
1.841759052043005636e-28	8.141899999999999693e+01
2.301617682815033632e-28	8.142499999999999716e+01
2.930816118031524049e-28	8.148099999999999454e+01
3.693319401847388716e-32	8.150300000000000011e+01
6.947574098260516631e-28	8.151200000000000045e+01
2.037425378682254560e-29	8.151300000000000523e+01
4.501975484617863602e-32	8.151800000000000068e+01
9.290258572511268646e-33	8.152700000000000102e+01
2.421285842050080775e-31	8.153600000000000136e+01
9.383129710118157519e-31	8.153700000000000614e+01
1.452989989175532792e-28	8.155599999999999739e+01
1.383301675900762790e-28	8.157399999999999807e+01
8.565401195417207507e-30	8.158700000000000330e+01
1.527396361686688584e-31	8.159600000000000364e+01
1.655871056596796843e-32	8.160099999999999909e+01
7.374070403817723697e-30	8.160699999999999932e+01
1.695034547906239047e-30	8.162500000000000000e+01
1.188349684391248028e-31	8.162600000000000477e+01
2.952519886406865538e-29	8.167499999999999716e+01
7.331440369272394997e-32	8.168500000000000227e+01
2.431619878712738169e-32	8.168999999999999773e+01
3.240479862442398179e-32	8.172599999999999909e+01
1.255697489358783303e-28	8.172899999999999920e+01
3.030654346628186818e-30	8.178499999999999659e+01
4.494469437636238889e-31	8.179300000000000637e+01
5.861596173424892251e-32	8.179399999999999693e+01
2.307464391471248505e-29	8.181100000000000705e+01
1.740290209705802369e-30	8.182699999999999818e+01
1.521968487405657245e-31	8.188700000000000045e+01
9.321607508595362916e-32	8.189300000000000068e+01
4.567095153741660083e-32	8.190000000000000568e+01
7.287220344895090338e-32	8.195399999999999352e+01
3.024330930486922445e-29	8.195600000000000307e+01
4.485147428871331364e-30	8.196299999999999386e+01
1.648357012180191718e-31	8.197299999999999898e+01
5.166605306971945121e-31	8.197299999999999898e+01
8.609793124674754401e-31	8.201500000000000057e+01
3.863587108995841262e-31	8.202899999999999636e+01
4.834008235584290138e-31	8.203300000000000125e+01
5.405704411975896976e-32	8.203799999999999670e+01
1.007485098133995399e-31	8.210500000000000398e+01
5.161554707814169136e-32	8.213599999999999568e+01
1.093249833070856511e-30	8.215000000000000568e+01
2.681057590731820042e-32	8.216899999999999693e+01
3.624169875598735574e-30	8.217100000000000648e+01
1.217295169830169637e-29	8.221999999999999886e+01
9.694298844175447354e-32	8.222799999999999443e+01
2.554556500981054378e-31	8.225199999999999534e+01
2.583570495220380626e-29	8.231699999999999307e+01
1.616515972731151263e-29	8.232500000000000284e+01
1.143235639810585303e-31	8.233299999999999841e+01
1.388486388301852174e-32	8.237800000000000011e+01
3.430695942372334614e-32	8.240999999999999659e+01
2.464466688623972903e-26	8.243000000000000682e+01
3.528234160698413929e-32	8.244100000000000250e+01
2.102408847651750647e-32	8.255100000000000193e+01
1.479202709383895105e-29	8.263200000000000500e+01
6.688978892427592734e-31	8.271500000000000341e+01
2.624685014649285069e-31	8.274399999999999977e+01
1.773887482846043131e-32	8.288899999999999579e+01
4.017997643043584520e-30	8.296699999999999875e+01
3.502141726668705829e-29	8.297700000000000387e+01
3.233591897640401053e-29	8.301099999999999568e+01
6.897825215273197745e-32	8.304000000000000625e+01
5.359623690222249461e-32	8.310099999999999909e+01
1.633293482260942053e-28	8.318699999999999761e+01
3.120180444564634303e-32	8.322100000000000364e+01
2.704410893306313301e-30	8.324099999999999966e+01
4.123760812757935997e-30	8.325799999999999557e+01
2.424047795698285017e-32	8.327400000000000091e+01
1.243677786904038397e-30	8.329300000000000637e+01
1.744900850824678358e-28	8.330899999999999750e+01
3.802967605549604799e-29	8.333700000000000330e+01
1.046629445778705304e-31	8.337099999999999511e+01
6.238686738068021440e-32	8.339900000000000091e+01
2.647149672364431056e-32	8.342499999999999716e+01
1.669826003821095570e-29	8.344299999999999784e+01
4.039750816213331829e-26	8.345699999999999363e+01
1.196101000028786650e-29	8.355500000000000682e+01
1.472343228120898492e-28	8.355899999999999750e+01
2.854433834225821749e-32	8.357299999999999329e+01
4.617976573653535549e-32	8.360200000000000387e+01
7.244144646801026851e-31	8.366599999999999682e+01
1.330668390645787256e-30	8.370600000000000307e+01
5.240602012401922955e-32	8.373699999999999477e+01
1.775110561769397960e-32	8.380800000000000693e+01
2.378168112566547356e-32	8.390200000000000102e+01
2.636253491970912697e-28	8.392499999999999716e+01
2.992015184677548469e-31	8.404099999999999682e+01
2.323197355272813845e-32	8.407099999999999795e+01
1.259142038983131857e-32	8.408400000000000318e+01
3.365389742941819280e-31	8.411599999999999966e+01
2.944187984359198081e-28	8.415999999999999659e+01
5.103762119270021879e-32	8.426900000000000546e+01
5.358664276945816348e-32	8.434999999999999432e+01
2.630366685056395587e-32	8.438200000000000500e+01
2.152702096064299037e-29	8.440900000000000603e+01
3.607015469788359228e-27	8.443000000000000682e+01
1.245566146556552338e-29	8.443800000000000239e+01
4.423550173436509082e-32	8.447599999999999909e+01
2.119621038129550322e-32	8.450400000000000489e+01
2.090770919981470128e-32	8.452299999999999613e+01
4.786534639175755176e-32	8.455700000000000216e+01
7.231049927043649611e-33	8.457800000000000296e+01
9.133712952676209510e-33	8.465999999999999659e+01
9.827779629119461811e-30	8.466899999999999693e+01
3.378799916435403273e-31	8.467900000000000205e+01
6.221264129215466041e-32	8.471200000000000330e+01
1.087857150323792568e-30	8.473099999999999454e+01
1.470720998055494476e-30	8.476000000000000512e+01
1.861248016567807922e-32	8.476000000000000512e+01
5.233532351045077692e-29	8.477500000000000568e+01
9.735609658846741581e-33	8.479300000000000637e+01
1.525535632472802658e-29	8.498999999999999488e+01
9.670876968165953668e-30	8.507399999999999807e+01
1.021454198595266455e-32	8.509000000000000341e+01
6.400557846412718490e-30	8.509999999999999432e+01
1.194546448984945266e-32	8.513899999999999579e+01
2.131975801121402771e-32	8.514700000000000557e+01
1.297858886950527501e-29	8.517100000000000648e+01
1.000446251995570470e-27	8.530200000000000671e+01
5.271701539163178558e-29	8.532800000000000296e+01
1.806524872936261098e-30	8.533599999999999852e+01
1.046251933509938098e-30	8.539100000000000534e+01
1.870937852050032021e-32	8.551999999999999602e+01
2.593272264595814684e-29	8.554900000000000659e+01
8.319156265393970196e-30	8.554900000000000659e+01
9.856435131047151294e-30	8.555599999999999739e+01
6.498006481815737501e-29	8.570699999999999363e+01
3.550957841768543021e-29	8.571500000000000341e+01
1.477249759282661454e-29	8.576200000000000045e+01
1.331275668590343287e-32	8.603600000000000136e+01
1.933048509238365754e-27	8.628600000000000136e+01
1.288930551995667603e-28	8.629399999999999693e+01
6.260682485493040810e-33	8.629600000000000648e+01
8.313583251928601871e-33	8.629800000000000182e+01
8.267396136217298719e-29	8.632399999999999807e+01
1.158745755771309935e-29	8.633899999999999864e+01
6.169507893275320631e-31	8.639400000000000546e+01
1.260405638895496483e-29	8.642400000000000659e+01
6.260080687462017758e-30	8.656600000000000250e+01
8.225373685315231600e-33	8.657500000000000284e+01
1.614728091110809341e-29	8.665099999999999625e+01
7.074143157877199873e-29	8.666299999999999670e+01
2.269133619050095406e-29	8.667700000000000671e+01
1.136070441318809010e-30	8.672799999999999443e+01
2.784613262809639598e-29	8.677800000000000580e+01
8.083389722076027118e-29	8.678300000000000125e+01
2.076816727050782374e-29	8.681399999999999295e+01
4.910302831614172403e-30	8.689100000000000534e+01
2.075885313759933865e-29	8.700199999999999534e+01
4.188739124878280921e-30	8.700600000000000023e+01
2.314355414211840622e-29	8.703300000000000125e+01
2.702716317138368377e-29	8.705500000000000682e+01
8.629523080514797692e-33	8.715900000000000603e+01
2.117695723441555356e-29	8.717000000000000171e+01
1.003756910681108193e-33	8.721399999999999864e+01
1.047773691193823567e-32	8.739000000000000057e+01
1.915158371650982291e-28	8.739100000000000534e+01
6.885302215002988330e-32	8.761100000000000421e+01
5.178456308368241462e-33	8.777800000000000580e+01
2.424113253172058438e-33	8.792700000000000671e+01
7.194274769111331619e-27	8.797700000000000387e+01
8.049915229013335691e-30	8.810699999999999932e+01
2.350648174040698703e-32	8.815900000000000603e+01
1.031403533568793780e-32	8.820699999999999363e+01
2.874821007603476793e-30	8.822299999999999898e+01
7.849058245820864394e-33	8.831100000000000705e+01
8.900502878956968027e-32	8.834300000000000352e+01
7.882056175936479586e-35	8.841599999999999682e+01
7.105754294217915291e-30	8.847599999999999909e+01
6.269603596711874055e-35	8.853000000000000114e+01
2.520096855769117552e-32	8.855400000000000205e+01
1.978898032302471315e-31	8.859499999999999886e+01
2.056888646725020000e-34	8.860399999999999920e+01
3.121815696046987538e-31	8.860500000000000398e+01
4.461699693603440663e-35	8.861599999999999966e+01
1.859563084737395986e-32	8.868600000000000705e+01
2.926064793772422990e-28	8.875600000000000023e+01
1.262172483199264512e-31	8.880500000000000682e+01
4.305014826926950284e-30	8.895699999999999363e+01
4.306458165262907349e-32	8.897400000000000375e+01
8.336029891562567838e-33	8.900799999999999557e+01
3.328787996350615656e-35	8.902700000000000102e+01
1.160276292082369671e-30	8.905299999999999727e+01
1.457095409365833857e-34	8.906199999999999761e+01
3.405525209335178302e-33	8.908700000000000330e+01
1.447650278340419396e-27	8.916700000000000159e+01
9.111995614769953091e-29	8.917900000000000205e+01
7.196391621412246240e-31	8.922899999999999920e+01
7.355911625708276765e-32	8.929200000000000159e+01
4.137868175432997990e-32	8.931699999999999307e+01
3.960331408153457241e-35	8.943699999999999761e+01
1.915484010322238148e-31	8.946899999999999409e+01
2.259990036962313198e-30	8.948000000000000398e+01
5.724290125465155283e-28	8.948999999999999488e+01
8.290978747279346453e-32	8.949599999999999511e+01
8.042993759343039240e-33	8.951399999999999579e+01
3.926785134739775758e-34	8.953499999999999659e+01
5.543077076369851806e-35	8.954600000000000648e+01
2.692087942663876307e-31	8.955200000000000671e+01
5.056134660778646946e-30	8.955599999999999739e+01
4.020213054642897134e-35	8.956600000000000250e+01
5.500958586350750554e-31	8.957999999999999829e+01
1.531034310737528020e-32	8.965200000000000102e+01
7.116470220120296202e-33	8.967300000000000182e+01
3.150802736385637942e-30	8.967799999999999727e+01
2.550524665850429574e-34	8.972599999999999909e+01
1.264611131100620852e-33	8.973999999999999488e+01
2.029690526545730227e-32	8.974699999999999989e+01
1.533653892953311323e-34	8.975700000000000500e+01
2.077480744605536777e-31	8.977100000000000080e+01
3.500137166228578639e-32	8.977599999999999625e+01
7.488041559452453214e-33	8.979800000000000182e+01
3.940637742613269013e-29	8.981300000000000239e+01
8.000977279788247877e-30	8.988299999999999557e+01
1.266514892894194935e-31	8.990000000000000568e+01
8.848944115215910296e-35	8.990000000000000568e+01
1.445853034383414113e-32	8.992600000000000193e+01
1.365497547261238461e-30	8.994400000000000261e+01
1.082792962997087528e-32	8.995499999999999829e+01
3.702339811868627877e-35	8.999800000000000466e+01
1.191319676499261863e-32	9.002700000000000102e+01
2.145473136039629135e-34	9.003499999999999659e+01
1.515623148994868951e-32	9.008499999999999375e+01
9.706370878440786551e-33	9.016299999999999670e+01
1.191910104022276383e-33	9.017300000000000182e+01
2.871288078217865449e-32	9.018699999999999761e+01
2.183846426038649855e-35	9.019499999999999318e+01
1.531286739701982293e-29	9.020699999999999363e+01
1.195644676002590894e-31	9.020999999999999375e+01
3.361446103414523166e-29	9.024699999999999989e+01
1.119892034753351311e-34	9.028400000000000603e+01
2.135579051322095686e-31	9.030700000000000216e+01
9.521448440414586000e-30	9.031799999999999784e+01
1.104982656811798018e-27	9.038800000000000523e+01
5.512974792339524043e-29	9.044100000000000250e+01
1.695641626850919608e-29	9.045799999999999841e+01
1.149894607223186836e-29	9.047299999999999898e+01
2.123263534208811385e-27	9.048900000000000432e+01
1.708171138925014550e-32	9.050700000000000500e+01
3.262641119085479322e-31	9.054099999999999682e+01
9.073627319178219121e-28	9.059600000000000364e+01
1.290312573148031294e-30	9.060399999999999920e+01
4.178130389738150802e-35	9.065300000000000580e+01
3.296791408583974718e-32	9.065900000000000603e+01
6.349747972435743620e-35	9.066500000000000625e+01
5.538973108922276516e-32	9.067900000000000205e+01
6.275787647316595373e-28	9.074500000000000455e+01
4.569858937649198194e-34	9.074599999999999511e+01
4.115151422844431330e-31	9.075000000000000000e+01
8.735501121174178902e-31	9.075000000000000000e+01
6.283546911528195018e-32	9.075799999999999557e+01
8.849435637926327275e-29	9.076099999999999568e+01
3.816521172635008264e-27	9.077800000000000580e+01
2.567233538929505099e-33	9.078499999999999659e+01
3.968916105444695905e-32	9.079000000000000625e+01
5.736347636767478768e-36	9.079600000000000648e+01
6.780495027467935493e-31	9.080899999999999750e+01
2.192219246180836873e-28	9.081100000000000705e+01
5.171227005187501609e-31	9.082099999999999795e+01
1.036619879535899613e-29	9.082899999999999352e+01
4.234030598943654771e-33	9.083100000000000307e+01
5.268871220608095438e-31	9.086299999999999955e+01
3.989286798213073282e-31	9.088299999999999557e+01
6.356932605920565127e-35	9.089600000000000080e+01
8.754218333791394820e-28	9.093000000000000682e+01
1.621473442012526262e-32	9.094700000000000273e+01
6.338260922870066012e-35	9.095499999999999829e+01
5.744047709893790732e-32	9.096800000000000352e+01
5.699216910381139240e-32	9.097199999999999420e+01
1.946664884381258417e-32	9.099099999999999966e+01
3.195361955029685269e-32	9.101900000000000546e+01
1.208433509376424077e-34	9.103499999999999659e+01
7.336528721459383139e-29	9.103799999999999670e+01
1.694974072348933765e-34	9.107800000000000296e+01
2.130606681871612048e-31	9.107899999999999352e+01
1.386983802094395901e-34	9.108100000000000307e+01
9.805958079827417843e-32	9.112199999999999989e+01
2.365030681804726275e-31	9.112300000000000466e+01
2.741118365582837604e-29	9.113400000000000034e+01
1.425318561643934394e-32	9.115600000000000591e+01
9.550998918677691899e-34	9.115800000000000125e+01
4.468510003824915190e-35	9.119199999999999307e+01
1.477643542176042405e-27	9.120199999999999818e+01
4.592935775732161666e-33	9.123399999999999466e+01
1.035552607649393841e-32	9.124399999999999977e+01
6.217155151834949821e-35	9.126999999999999602e+01
4.414074230579136160e-33	9.127500000000000568e+01
4.670713661276927144e-35	9.128300000000000125e+01
5.983919386874128327e-34	9.132899999999999352e+01
5.240828373136011340e-32	9.133299999999999841e+01
1.276213575198347372e-31	9.134600000000000364e+01
3.409959155780112865e-32	9.140000000000000568e+01
4.001041483033366855e-35	9.141100000000000136e+01
1.333753304422539719e-32	9.141299999999999670e+01
3.504915222560155726e-31	9.142799999999999727e+01
6.266275849143590086e-28	9.150499999999999545e+01
5.086420380009404432e-33	9.152200000000000557e+01
6.878280134138971986e-29	9.153900000000000148e+01
9.328304542623028759e-33	9.159600000000000364e+01
2.849478474956997524e-29	9.161199999999999477e+01
2.551289680109143743e-31	9.162600000000000477e+01
2.285246300054253262e-33	9.168200000000000216e+01
4.912828607980184888e-32	9.170000000000000284e+01
3.952856342516971058e-32	9.176600000000000534e+01
1.876217488172967615e-29	9.179000000000000625e+01
6.585790814910331724e-28	9.179699999999999704e+01
1.200727202667722546e-28	9.179900000000000659e+01
2.918382708359228574e-33	9.180200000000000671e+01
4.232190552930058100e-30	9.181999999999999318e+01
3.024612971220750224e-32	9.183700000000000330e+01
8.326873512539803165e-28	9.190699999999999648e+01
1.046428563489398223e-32	9.191200000000000614e+01
9.883715850512126534e-28	9.191899999999999693e+01
3.039806431718125801e-32	9.195000000000000284e+01
1.449666741723748656e-26	9.198000000000000398e+01
3.987239669703788883e-33	9.199599999999999511e+01
4.335356312715002361e-31	9.200700000000000500e+01
2.443058049149973660e-32	9.205100000000000193e+01
2.801853220756290534e-32	9.207599999999999341e+01
2.035823092645373067e-32	9.207699999999999818e+01
1.727591727190436816e-28	9.208599999999999852e+01
6.957029013355123282e-27	9.209300000000000352e+01
1.372597699431616398e-31	9.209699999999999420e+01
1.422271236038624387e-31	9.209900000000000375e+01
5.445795589396196720e-33	9.214400000000000546e+01
4.042745126004494404e-33	9.218800000000000239e+01
1.688865910599669442e-32	9.219100000000000250e+01
1.316742161760391717e-31	9.219599999999999795e+01
3.551878622486610734e-32	9.221899999999999409e+01
1.951213993462629331e-29	9.224200000000000443e+01
6.796967306116974803e-30	9.226000000000000512e+01
8.724367988991457539e-33	9.226399999999999579e+01
1.453369088495862100e-32	9.226600000000000534e+01
3.052419811613367747e-27	9.228900000000000148e+01
3.429407704132009661e-32	9.229200000000000159e+01
2.578648904277863873e-32	9.232099999999999795e+01
1.072145976504478570e-31	9.232999999999999829e+01
1.817662189117983915e-32	9.234999999999999432e+01
8.287242475470767660e-33	9.236100000000000421e+01
6.422137172300626625e-32	9.240699999999999648e+01
1.269470583532974366e-32	9.242700000000000671e+01
5.709642393091393212e-33	9.242900000000000205e+01
2.727736251632465065e-33	9.245099999999999341e+01
2.916517387737636595e-29	9.246999999999999886e+01
3.603881106009806149e-33	9.247199999999999420e+01
7.030039003667752429e-32	9.247299999999999898e+01
3.075203191606426842e-32	9.248999999999999488e+01
2.160971487814033334e-31	9.250300000000000011e+01
